
 1:
"['Èierny most', 'Divadlo Jonáša Záborského', -72.606688]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -70.988261]"
"['Na Hlavnej', 'Trojica', -77.30874]"
"['Trojica', 'Duklianska  *', -113.511676]"
"['Duklianska  *', 'Rázcestie Kúty  *', -98.64838]"
"['Rázcestie Kúty  *', 'Dopravnı podnik  *', -72.720143]"
"['Dopravnı podnik  *', 'Šarišské Lúky  *', -78.984455]"
"['Šarišské Lúky  *', 'Vranovská  *', -80.510978]"
"['Vranovská  *', 'Paica  *', -72.647874]"
"['Na Hlavnej', 'Ve¾ká pošta', -89.921603]"
"['Ve¾ká pošta', 'Èierny most', -85.483675]"
"['Èierny most', 'eleznièná stanica', -96.684389]"
"['eleznièná stanica', 'Škára *', -108.509119]"
"['Škára *', 'Solivarská  *', -108.071532]"
"['Solivarská  *', 'Bohúòova  *', -85.862985]"
"['Bohúòova  *', 'Múzeum Solivar *', -82.628864]"
"['Niná Šebastová', 'Paica  *', -46.398086]"
"['Solivar', 'Múzeum Solivar *', -30.109297]"
"['Niná Šebastová', 'Niná Šebastová', -11.0]"

 8:
"['Škára *', 'eleznièná stanica', -96.443355]"
"['eleznièná stanica', 'Èierny most', -81.539198]"
"['Èierny most', 'Divadlo Jonáša Záborského', -118.793683]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -113.984458]"
"['Na Hlavnej', 'Trojica', -66.296867]"
"['Trojica', 'Poliklinika', -105.16833]"
"['Poliklinika', 'Clementisova', -73.445366]"
"['Clementisova', 'Volgogradská', -58.395302]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -52.426983]"
"['Nám.Krá¾.pokoja', 'VUKOV', -46.839924]"
"['VUKOV', 'Centrum', -47.156395]"
"['Centrum', 'Prostìjovská', -46.812158]"
"['Lesnícka', 'Pavla Horova', -98.013341]"
"['Pavla Horova', 'Martina Benku', -106.311384]"
"['Martina Benku', 'Jurkovièova', -110.98584]"
"['Jurkovièova', 'Karpatská', -126.211068]"
"['Na Hlavnej', 'Ve¾ká pošta', -18.020761]"
"['Ve¾ká pošta', 'Èierny most', -15.735766]"
"['Sibírska', 'Karpatská', -61.964634]"
"['Lesnícka', 'Škára *', -99.604881]"
"['Sídlisko III', 'Prostìjovská', -40.978198]"

38:
"['Duchnovièovo nám.', 'Prešovská univerzita', -73.052955]"
"['Prešovská univerzita', 'Škultétyho', -73.255515]"
"['Škultétyho', 'eleznièná stanica', -87.530836]"
"['eleznièná stanica', 'Škára *', -100.103581]"
"['Škára *', 'Lesnícka', -103.356205]"
"['Lesnícka', 'Pavla Horova', -102.262075]"
"['Pavla Horova', 'Martina Benku', -106.412378]"
"['Martina Benku', 'Jurkovièova', -114.678488]"
"['Jurkovièova', 'Karpatská', -129.213249]"
"['Duchnovièovo nám.', 'Námestie mládee  *', -143.892248]"
"['Námestie mládee  *', 'Obrancov mieru', -147.292693]"
"['Obrancov mieru', 'Clementisova', -86.245531]"
"['Clementisova', 'Volgogradská', -83.68453]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -77.599102]"
"['Nám.Krá¾.pokoja', 'VUKOV', -66.771747]"
"['VUKOV', 'Centrum', -76.367258]"
"['Centrum', 'Prostìjovská', -71.24797]"
"['Sibírska', 'Karpatská', -61.538557]"
"['Sídlisko III', 'Prostìjovská', -28.276114]"
